,Week,Average Weekly Cases
0,2020-01-22 - 2020-01-28,0.0
1,2020-01-29 - 2020-02-04,0.0
2,2020-02-05 - 2020-02-11,0.0
3,2020-02-12 - 2020-02-18,0.0
4,2020-02-19 - 2020-02-25,0.0
5,2020-02-26 - 2020-03-03,3.0
6,2020-03-04 - 2020-03-10,4.0
7,2020-03-11 - 2020-03-17,13.0
8,2020-03-18 - 2020-03-24,71.0
9,2020-03-25 - 2020-03-31,191.0
10,2020-04-01 - 2020-04-07,559.0
11,2020-04-08 - 2020-04-14,915.0
12,2020-04-15 - 2020-04-21,1292.0
13,2020-04-22 - 2020-04-28,1670.0
14,2020-04-29 - 2020-05-05,2846.0
15,2020-05-06 - 2020-05-12,3581.0
16,2020-05-13 - 2020-05-19,4853.0
17,2020-05-20 - 2020-05-26,6579.0
18,2020-05-27 - 2020-06-02,8391.0
19,2020-06-03 - 2020-06-09,9968.0
20,2020-06-10 - 2020-06-16,11477.0
21,2020-06-17 - 2020-06-23,15165.0
22,2020-06-24 - 2020-06-30,18790.0
23,2020-07-01 - 2020-07-07,23236.0
24,2020-07-08 - 2020-07-14,28794.0
25,2020-07-15 - 2020-07-21,38563.0
26,2020-07-22 - 2020-07-28,49023.0
27,2020-07-29 - 2020-08-04,54653.0
28,2020-08-05 - 2020-08-11,61728.0
29,2020-08-12 - 2020-08-18,62898.0
30,2020-08-19 - 2020-08-25,67615.0
31,2020-08-26 - 2020-09-01,77596.0
32,2020-09-02 - 2020-09-08,87493.0
33,2020-09-09 - 2020-09-15,93198.0
34,2020-09-16 - 2020-09-22,87752.0
35,2020-09-23 - 2020-09-29,82866.0
36,2020-09-30 - 2020-10-06,74724.0
37,2020-10-07 - 2020-10-13,67348.0
38,2020-10-14 - 2020-10-20,57121.0
39,2020-10-21 - 2020-10-27,47608.0
40,2020-10-28 - 2020-11-03,46269.0
41,2020-11-04 - 2020-11-10,45690.0
42,2020-11-11 - 2020-11-17,39223.0
43,2020-11-18 - 2020-11-24,44031.0
44,2020-11-25 - 2020-12-01,38322.0
45,2020-12-02 - 2020-12-08,33201.0
46,2020-12-09 - 2020-12-15,27026.0
47,2020-12-16 - 2020-12-22,23888.0
48,2020-12-23 - 2020-12-29,20413.0
49,2020-12-30 - 2021-01-05,18372.0
50,2021-01-06 - 2021-01-12,16687.0
51,2021-01-13 - 2021-01-19,14112.0
52,2021-01-20 - 2021-01-26,12901.0
53,2021-01-27 - 2021-02-02,12712.0
54,2021-02-03 - 2021-02-09,11587.0
55,2021-02-10 - 2021-02-16,11272.0
56,2021-02-17 - 2021-02-23,13816.0
57,2021-02-24 - 2021-03-02,15715.0
58,2021-03-03 - 2021-03-09,18376.0
59,2021-03-10 - 2021-03-16,27006.0
60,2021-03-17 - 2021-03-23,44704.0
61,2021-03-24 - 2021-03-30,62018.0
62,2021-03-31 - 2021-04-06,100987.0
63,2021-04-07 - 2021-04-13,163712.0
64,2021-04-14 - 2021-04-20,265172.0
65,2021-04-21 - 2021-04-27,349378.0
66,2021-04-28 - 2021-05-04,385855.0
67,2021-05-05 - 2021-05-11,375179.0
68,2021-05-12 - 2021-05-18,295539.0
69,2021-05-19 - 2021-05-25,228093.0
70,2021-05-26 - 2021-06-01,153270.0
71,2021-06-02 - 2021-06-08,105792.0
72,2021-06-09 - 2021-06-15,73968.0
73,2021-06-16 - 2021-06-22,54637.0
74,2021-06-23 - 2021-06-29,46979.0
75,2021-06-30 - 2021-07-06,42560.0
76,2021-07-07 - 2021-07-13,39760.0
77,2021-07-14 - 2021-07-20,38548.0
78,2021-07-21 - 2021-07-27,38627.0
79,2021-07-28 - 2021-08-03,40571.0
80,2021-08-04 - 2021-08-10,37941.0
81,2021-08-11 - 2021-08-17,34936.0
82,2021-08-18 - 2021-08-24,33753.0
83,2021-08-25 - 2021-08-31,42772.0
84,2021-09-01 - 2021-09-07,40292.0
85,2021-09-08 - 2021-09-14,29620.0
86,2021-09-15 - 2021-09-21,30870.0
87,2021-09-22 - 2021-09-28,25222.0
88,2021-09-29 - 2021-10-05,22047.0
89,2021-10-06 - 2021-10-12,18059.0
90,2021-10-13 - 2021-10-19,15245.0
91,2021-10-20 - 2021-10-26,14908.0
